UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],delta_temp,power_proxy,Machine failure,TWF,HDF,PWF,OSF,RNF,risk_score,risk_level
37,M14896,M,298.9,309.2,1581,36.7,101,10.300000000000011,58022.700000000004,0,0,0,0,0,0,0.4461804646381523,Medium
38,L47217,L,298.8,309.1,1439,39.2,104,10.300000000000011,56408.8,0,0,0,0,0,0,0.4610336239193736,Medium
39,H29452,H,298.9,309.2,1379,50.7,106,10.300000000000011,69915.3,0,0,0,0,0,0,0.5577295405336827,High
40,L47219,L,298.8,309.1,1350,52.5,111,10.300000000000011,70875.0,0,0,0,0,0,0,0.5776810884752183,High
41,L47220,L,298.8,309.1,1362,45.4,113,10.300000000000011,61834.799999999996,0,0,0,0,0,0,0.5215202024693179,Medium
42,L47221,L,298.8,309.1,1368,50.8,115,10.300000000000011,69494.4,0,0,0,0,0,0,0.5715625419095451,High
43,M14902,M,298.8,309.1,1368,49.1,117,10.300000000000011,67168.8,0,0,0,0,0,0,0.5601586689571877,High
44,H29457,H,298.8,309.2,1372,48.5,120,10.399999999999977,66542.0,0,0,0,0,0,0,0.5601967245431791,High
45,M14904,M,298.8,309.1,1472,47.5,125,10.300000000000011,69920.0,0,0,0,0,0,0,0.5701972088270264,High
46,L47225,L,298.8,309.1,1489,49.1,128,10.300000000000011,73109.90000000001,0,0,0,0,0,0,0.590898720013382,High
47,M14906,M,298.7,309.0,1843,25.8,130,10.300000000000011,47549.4,0,0,0,0,0,0,0.408608247388936,Low
48,L47227,L,298.8,309.1,1418,46.3,133,10.300000000000011,65653.4,0,0,0,0,0,0,0.5666656232970868,High
49,H29462,H,298.8,309.2,1425,53.9,135,10.399999999999977,76807.5,0,0,0,0,0,0,0.6366474840175292,High
50,M14909,M,298.9,309.2,1412,44.1,140,10.300000000000011,62269.200000000004,0,0,0,0,0,0,0.5580411229910613,High
51,L47230,L,298.9,309.1,2861,4.6,143,10.200000000000045,13160.599999999999,1,0,0,1,0,0,0.2354116953417461,Low
52,L47231,L,298.9,309.1,1383,54.9,145,10.200000000000045,75926.7,0,0,0,0,0,0,0.6559732427617493,High
53,H29466,H,298.8,309.0,1497,43.8,147,10.199999999999989,65568.59999999999,0,0,0,0,0,0,0.5748732142299554,High
54,L47233,L,298.7,309.0,1565,35.1,152,10.300000000000011,54931.5,0,0,0,0,0,0,0.5110762113882399,Medium
55,L47234,L,298.7,309.0,1691,30.1,154,10.300000000000011,50899.100000000006,0,0,0,0,0,0,0.4777055506962242,Medium
56,L47235,L,298.8,309.1,1512,40.7,156,10.300000000000011,61538.4,0,0,0,0,0,0,0.5630142507182695,High
57,L47236,L,298.8,309.1,1477,42.4,158,10.300000000000011,62624.799999999996,0,0,0,0,0,0,0.577957940706535,High
58,L47237,L,298.8,309.1,1513,40.3,160,10.300000000000011,60973.899999999994,0,0,0,0,0,0,0.5658722136811563,High
59,M14918,M,298.8,309.0,1661,29.5,162,10.199999999999989,48999.5,0,0,0,0,0,0,0.4827889569043046,Medium
60,L47239,L,298.8,309.1,1378,54.4,165,10.300000000000011,74963.2,0,0,0,0,0,0,0.6826817056415192,High
61,L47240,L,298.8,309.1,1393,52.6,167,10.300000000000011,73271.8,0,0,0,0,0,0,0.6721533329337471,High
62,M14921,M,298.8,309.0,1592,38.2,169,10.199999999999989,60814.4,0,0,0,0,0,0,0.5682046289507544,High
63,L47242,L,298.8,309.0,1829,22.9,172,10.199999999999989,41884.1,0,0,0,0,0,0,0.44634827738997257,Medium
64,M14923,M,298.9,309.0,1812,25.9,174,10.100000000000023,46930.799999999996,0,0,0,0,0,0,0.47733301535934924,Medium
65,L47244,L,299.0,309.1,1523,38.6,177,10.100000000000023,58787.8,0,0,0,0,0,0,0.5784971909989055,High
66,L47245,L,299.0,309.1,1394,45.1,179,10.100000000000023,62869.4,0,0,0,0,0,0,0.6265442655101139,High
67,M14926,M,298.9,308.9,1679,28.7,181,10.0,48187.299999999996,0,0,0,0,0,0,0.5066079885206205,Medium
68,H29481,H,298.8,308.9,1466,44.1,184,10.099999999999966,64650.6,0,0,0,0,0,0,0.6329569834301696,High
69,L47248,L,298.8,308.9,1527,32.4,189,10.099999999999966,49474.799999999996,0,0,0,0,0,0,0.5424786965727851,High
70,L47249,L,298.9,309.0,1410,65.7,191,10.100000000000023,92637.0,1,0,0,1,1,0,0.8255866734950539,High
71,M14930,M,298.9,309.0,1924,22.6,193,10.100000000000023,43482.4,0,0,0,0,0,0,0.4814926434045897,Medium
72,L47251,L,298.9,309.1,1452,45.5,196,10.200000000000045,66066.0,0,0,0,0,0,0,0.6628018113342486,High
73,L47252,L,298.9,309.1,1369,44.4,198,10.200000000000045,60783.6,0,0,0,0,0,0,0.6480511624799103,High
74,L47253,L,299.0,309.1,1592,35.0,200,10.100000000000023,55720.0,0,0,0,0,0,0,0.5881877282919664,High
75,L47254,L,298.9,309.0,1601,32.3,202,10.100000000000023,51712.299999999996,0,0,0,0,0,0,0.5675099273748294,High
76,L47255,L,298.8,308.9,1379,46.7,204,10.099999999999966,64399.3,0,0,0,0,0,0,0.6782986182554144,High
77,L47256,L,298.8,308.9,1461,47.9,206,10.099999999999966,69981.9,0,0,0,0,0,0,0.7005973320024891,High
78,L47257,L,298.8,308.9,1455,41.3,208,10.099999999999966,60091.49999999999,1,1,0,0,0,0,0.6452734288524989,High
79,L47258,L,298.8,308.9,1398,51.5,0,10.099999999999966,71997.0,0,0,0,0,0,0,0.3992134749232542,Low
80,L47259,L,298.8,308.9,1402,37.9,2,10.099999999999966,53135.799999999996,0,0,0,0,0,0,0.28527201220933224,Low
81,H29494,H,298.8,308.8,1445,49.9,4,10.0,72105.5,0,0,0,0,0,0,0.39699015977647173,Low
82,L47261,L,298.9,308.9,1450,47.5,9,10.0,68875.0,0,0,0,0,0,0,0.3844500435228731,Low
83,L47262,L,298.9,308.9,1453,40.8,11,10.0,59282.399999999994,0,0,0,0,0,0,0.32924580106036694,Low
84,L47263,L,299.0,309.0,1469,40.1,13,10.0,58906.9,0,0,0,0,0,0,0.327718011249077,Low
85,L47264,L,298.9,308.9,1422,47.6,15,10.0,67687.2,0,0,0,0,0,0,0.39181685441457764,Low
86,M14945,M,299.0,309.0,1804,26.8,17,10.0,48347.200000000004,0,0,0,0,0,0,0.23723916147452018,Low
87,H29500,H,299.0,309.0,1436,43.9,20,10.0,63040.4,0,0,0,0,0,0,0.3689516706592554,Low
88,L47267,L,299.0,309.0,1544,31.8,25,10.0,49099.200000000004,0,0,0,0,0,0,0.27904953974080293,Low
89,M14948,M,299.0,309.0,1419,45.2,27,10.0,64138.8,0,0,0,0,0,0,0.3896296589617122,Low
90,M14949,M,298.9,308.9,1487,39.5,30,10.0,58736.5,0,0,0,0,0,0,0.3509159154646742,Low
91,L47270,L,298.9,308.9,1753,25.8,33,10.0,45227.4,0,0,0,0,0,0,0.2500313832984249,Low
92,L47271,L,298.9,308.9,1830,24.9,35,10.0,45567.0,0,0,0,0,0,0,0.24901141315899233,Low
93,M14952,M,298.9,308.9,1727,27.1,37,10.0,46801.700000000004,0,0,0,0,0,0,0.2670355634043743,Low
94,L47273,L,299.1,309.0,1450,43.0,40,9.899999999999977,62350.0,0,0,0,0,0,0,0.3940759454406417,Low
95,L47274,L,299.0,308.9,1622,31.9,42,9.899999999999977,51741.799999999996,0,0,0,0,0,0,0.31241398030590184,Low
96,M14955,M,299.0,309.0,1351,52.2,44,10.0,70522.2,0,0,0,0,0,0,0.46931119521299197,Medium
97,M14956,M,299.0,309.0,1575,35.3,47,10.0,55597.49999999999,0,0,0,0,0,0,0.34766360789882944,Low
98,M14957,M,298.9,308.9,1750,29.9,50,10.0,52325.0,0,0,0,0,0,0,0.3153835522234919,Low
99,L47278,L,298.9,308.8,1529,32.7,53,9.900000000000034,49998.3,0,0,0,0,0,0,0.33028351013195345,Low
100,L47279,L,298.8,308.8,1523,44.4,55,10.0,67621.2,0,0,0,0,0,0,0.4373272516051285,Medium
101,L47280,L,298.8,308.9,1852,25.0,57,10.099999999999966,46300.0,0,0,0,0,0,0,0.28599041174819534,Low
102,L47281,L,298.8,308.8,1991,20.7,59,10.0,41213.7,0,0,0,0,0,0,0.25409795214005887,Low
103,L47282,L,298.8,308.8,1555,40.6,61,10.0,63133.0,0,0,0,0,0,0,0.4158499950092325,Low
104,M14963,M,298.8,308.8,1441,40.5,63,10.0,58360.5,0,0,0,0,0,0,0.40773951927771707,Low
105,L47284,L,298.8,308.7,1450,43.4,66,9.899999999999977,62930.0,0,0,0,0,0,0,0.43868363865620763,Medium
106,L47285,L,298.8,308.7,1591,31.1,68,9.899999999999977,49480.100000000006,0,0,0,0,0,0,0.34404339989650645,Low
107,L47286,L,298.8,308.7,1445,48.5,70,9.899999999999977,70082.5,0,0,0,0,0,0,0.4891003053292177,Medium
108,M14967,M,298.8,308.8,1497,46.8,72,10.0,70059.59999999999,0,0,0,0,0,0,0.48287024851282156,Medium
109,H29522,H,298.9,308.8,1621,32.7,75,9.900000000000034,53006.700000000004,0,0,0,0,0,0,0.371825535366202,Low
110,L47289,L,298.9,308.7,1572,34.1,80,9.800000000000011,53605.200000000004,0,0,0,0,0,0,0.38876771973055063,Low
111,L47290,L,298.8,308.6,1872,22.5,82,9.800000000000011,42120.0,0,0,0,0,0,0,0.30238801643958685,Low
112,H29525,H,298.7,308.6,1499,43.5,84,9.900000000000034,65206.5,0,0,0,0,0,0,0.4728065359563096,Medium
113,M14972,M,298.8,308.7,1498,39.5,89,9.899999999999977,59171.0,0,0,0,0,0,0,0.44517280318953617,Medium
114,M14973,M,298.8,308.6,1486,41.9,92,9.800000000000011,62263.4,0,0,0,0,0,0,0.4700508511234064,Medium
115,L47294,L,298.8,308.6,1680,29.4,95,9.800000000000011,49392.0,0,0,0,0,0,0,0.37719254031145405,Low
116,L47295,L,298.8,308.6,1431,45.7,97,9.800000000000011,65396.700000000004,0,0,0,0,0,0,0.5058751581553668,Medium
117,L47296,L,298.9,308.7,1564,34.1,99,9.800000000000011,53332.4,0,0,0,0,0,0,0.4181943053771336,Low
118,L47297,L,298.8,308.6,1599,33.0,101,9.800000000000011,52767.0,0,0,0,0,0,0,0.41404203699499276,Low
119,M14978,M,298.8,308.6,1707,28.1,103,9.800000000000011,47966.700000000004,0,0,0,0,0,0,0.3794954725245495,Low
120,L47299,L,298.7,308.5,1467,40.7,106,9.800000000000011,59706.9,0,0,0,0,0,0,0.47984776580648214,Medium
121,L47300,L,298.9,308.7,1433,44.7,108,9.800000000000011,64055.100000000006,0,0,0,0,0,0,0.5147575861709727,Medium
122,L47301,L,298.9,308.7,1558,41.2,110,9.800000000000011,64189.600000000006,0,0,0,0,0,0,0.4989910732881519,Medium
123,L47302,L,299.0,308.8,1310,50.7,112,9.800000000000011,66417.0,0,0,0,0,0,0,0.5593555593281283,High
124,L47303,L,298.9,308.7,1546,43.4,114,9.800000000000011,67096.4,0,0,0,0,0,0,0.5239342328630493,Medium
125,L47304,L,298.9,308.7,1727,29.4,116,9.800000000000011,50773.799999999996,0,0,0,0,0,0,0.4134988154532799,Low
126,L47305,L,298.9,308.6,1560,32.2,118,9.700000000000045,50232.00000000001,0,0,0,0,0,0,0.4308281441047866,Medium
127,L47306,L,299.0,308.6,1329,60.5,120,9.600000000000023,80404.5,0,0,0,0,0,0,0.6572777163402592,High
128,L47307,L,298.9,308.6,1413,46.5,122,9.700000000000045,65704.5,0,0,0,0,0,0,0.5504880339642375,High
129,L47308,L,299.0,308.6,1587,38.6,124,9.600000000000023,61258.200000000004,0,0,0,0,0,0,0.5002533370864191,Medium
130,L47309,L,298.9,308.5,1559,34.3,126,9.600000000000023,53473.7,0,0,0,0,0,0,0.4622984330877624,Medium
131,L47310,L,298.8,308.4,1473,41.1,128,9.599999999999966,60540.3,0,0,0,0,0,0,0.5187006995503772,Medium
132,L47311,L,298.8,308.4,1737,27.7,130,9.599999999999966,48114.9,0,0,0,0,0,0,0.42031840018741684,Medium
133,M14992,M,298.7,308.4,1441,43.2,132,9.699999999999989,62251.200000000004,0,0,0,0,0,0,0.540407403444024,High
134,M14993,M,298.7,308.4,1430,49.6,135,9.699999999999989,70928.0,0,0,0,0,0,0,0.5998107694994268,High
135,L47314,L,298.8,308.4,1369,53.0,138,9.599999999999966,72557.0,0,0,0,0,0,0,0.626895286043551,High
136,M14995,M,298.8,308.5,1711,28.5,140,9.699999999999989,48763.5,0,0,0,0,0,0,0.44198158666338616,Medium
137,H29550,H,298.7,308.5,1420,45.7,143,9.800000000000011,64894.00000000001,0,0,0,0,0,0,0.5774729405575655,High
138,L47317,L,298.7,308.6,1297,55.3,148,9.900000000000034,71724.09999999999,0,0,0,0,0,0,0.6534715259341511,High
139,H29552,H,298.8,308.6,1449,49.4,150,9.800000000000011,71580.59999999999,0,0,0,0,0,0,0.6238935762115024,High
140,L47319,L,298.8,308.6,1268,55.8,155,9.800000000000011,70754.4,0,0,0,0,0,0,0.6651072041690612,High
141,L47320,L,298.8,308.6,1511,36.1,157,9.800000000000011,54547.1,0,0,0,0,0,0,0.5236121669772746,Medium
142,L47321,L,298.7,308.5,1544,35.2,159,9.800000000000011,54348.8,0,0,0,0,0,0,0.5213836174746886,Medium
143,M15002,M,298.6,308.4,1778,28.2,161,9.799999999999955,50139.6,0,0,0,0,0,0,0.4766267031251259,Medium
144,H29557,H,298.6,308.4,1407,50.5,164,9.799999999999955,71053.5,0,0,0,0,0,0,0.650887606198949,High
145,M15004,M,298.6,308.4,1391,42.4,169,9.799999999999955,58978.4,0,0,0,0,0,0,0.5871563397005723,High
146,L47325,L,298.5,308.4,1513,33.6,172,9.899999999999977,50836.8,0,0,0,0,0,0,0.5252548393406986,Medium
147,H29560,H,298.5,308.4,1612,36.1,174,9.899999999999977,58193.200000000004,0,0,0,0,0,0,0.5586818686324928,High
148,L47327,L,298.4,308.4,1515,40.1,179,10.0,60751.5,0,0,0,0,0,0,0.594313139351543,High
149,M15008,M,298.3,308.3,1379,48.0,181,10.0,66192.0,0,0,0,0,0,0,0.6531057628575117,High
150,L47329,L,298.4,308.3,1473,39.9,184,9.900000000000034,58772.7,0,0,0,0,0,0,0.5966733144177939,High
151,L47330,L,298.4,308.3,1422,42.7,186,9.900000000000034,60719.4,0,0,0,0,0,0,0.6195939235028525,High
152,M15011,M,298.4,308.2,1463,37.6,188,9.800000000000011,55008.8,0,0,0,0,0,0,0.5819031524970354,High
153,M15012,M,298.4,308.2,1584,41.0,191,9.800000000000011,64944.0,0,0,0,0,0,0,0.6276504351802665,High
154,L47333,L,298.4,308.2,1850,27.0,194,9.800000000000011,49950.0,0,0,0,0,0,0,0.5217812072564507,Medium
155,L47334,L,298.4,308.2,1528,36.2,196,9.800000000000011,55313.600000000006,0,0,0,0,0,0,0.5875439053192448,High
156,H29569,H,298.4,308.2,1987,19.8,198,9.800000000000011,39342.6,0,0,0,0,0,0,0.46471166636438893,Medium
157,M15016,M,298.4,308.1,1495,46.0,203,9.700000000000045,68770.0,0,0,0,0,0,0,0.6826917338644126,High
158,H29571,H,298.4,308.2,1478,43.5,206,9.800000000000011,64293.0,0,0,0,0,0,0,0.6636394161013555,High
159,M15018,M,298.4,308.2,1499,40.0,211,9.800000000000011,59960.0,0,0,0,0,0,0,0.6425781942446324,High
160,L47339,L,298.4,308.2,1471,47.0,214,9.800000000000011,69137.0,0,0,0,0,0,0,0.7064021368026306,High
161,L47340,L,298.4,308.2,1282,60.7,216,9.800000000000011,77817.40000000001,1,0,0,0,1,0,0.8043424539515611,High
162,L47341,L,298.3,308.1,1412,52.3,218,9.800000000000011,73847.59999999999,1,0,0,0,1,0,0.7524311272425386,High
163,L47342,L,298.3,308.1,1586,35.5,0,9.800000000000011,56303.0,0,0,0,0,0,0,0.27603935963557413,Low
164,M15023,M,298.4,308.2,1468,43.8,2,9.800000000000011,64298.399999999994,0,0,0,0,0,0,0.3427702564583651,Low
165,M15024,M,298.5,308.3,1440,43.6,5,9.800000000000011,62784.0,0,0,0,0,0,0,0.3430118122478567,Low
166,L47345,L,298.5,308.4,1733,26.0,8,9.899999999999977,45058.0,0,0,0,0,0,0,0.21122397670196327,Low
167,H29580,H,298.4,308.2,1612,32.6,10,9.800000000000011,52551.200000000004,0,0,0,0,0,0,0.26748584728285735,Low
168,H29581,H,298.4,308.3,1458,42.9,15,9.900000000000034,62548.2,0,0,0,0,0,0,0.3544461284003185,Low
169,L47348,L,298.4,308.3,1433,62.3,20,9.900000000000034,89275.9,1,0,0,1,0,0,0.5289977438756756,Medium
170,L47349,L,298.4,308.3,1318,59.1,22,9.900000000000034,77893.8,0,0,0,0,0,0,0.48900353673361496,Medium
171,M15030,M,298.4,308.2,1610,35.0,24,9.800000000000011,56350.0,0,0,0,0,0,0,0.3113423727605596,Low
172,L47351,L,298.2,308.1,1462,50.8,27,9.900000000000034,74269.59999999999,0,0,0,0,0,0,0.4431612541336859,Medium
173,M15032,M,298.1,308.0,1924,20.8,29,9.899999999999977,40019.200000000004,0,0,0,0,0,0,0.20453271310492543,Low
174,M15033,M,298.2,308.0,1591,33.7,32,9.800000000000011,53616.700000000004,0,0,0,0,0,0,0.3107064282177436,Low
175,L47354,L,298.2,308.1,1306,58.3,35,9.900000000000034,76139.8,0,0,0,0,0,0,0.5012203212038626,Medium
176,L47355,L,298.2,308.1,1382,43.5,37,9.900000000000034,60117.0,0,0,0,0,0,0,0.3870629043307688,Low
177,L47356,L,298.2,308.1,1618,34.7,39,9.900000000000034,56144.600000000006,0,0,0,0,0,0,0.3329479336199951,Low
178,L47357,L,298.2,308.2,1988,21.4,41,10.0,42543.2,0,0,0,0,0,0,0.23247279194337211,Low
179,L47358,L,298.2,308.2,1436,50.2,43,10.0,72087.2,0,0,0,0,0,0,0.46025747316379606,Medium
180,L47359,L,298.2,308.3,1304,49.8,45,10.100000000000023,64939.2,0,0,0,0,0,0,0.4451612591373941,Medium
181,L47360,L,298.2,308.3,1475,49.9,47,10.100000000000023,73602.5,0,0,0,0,0,0,0.46833788046584646,Medium
182,H29595,H,298.2,308.3,1824,24.2,49,10.100000000000023,44140.799999999996,0,0,0,0,0,0,0.26409519251379077,Low
183,M15042,M,298.1,308.2,1342,48.1,54,10.099999999999966,64550.200000000004,0,0,0,0,0,0,0.4491758250639063,Medium
184,L47363,L,298.1,308.2,1485,40.7,57,10.099999999999966,60439.50000000001,0,0,0,0,0,0,0.404023450680288,Low
185,L47364,L,298.2,308.2,1667,30.6,59,10.0,51010.200000000004,0,0,0,0,0,0,0.33050479976141756,Low
186,L47365,L,298.2,308.2,1446,38.2,61,10.0,55237.200000000004,0,0,0,0,0,0,0.38492252196819476,Low
187,L47366,L,298.1,308.3,1301,56.0,63,10.199999999999989,72856.0,0,0,0,0,0,0,0.5254735348823951,Medium
188,L47367,L,298.2,308.4,1379,43.1,65,10.199999999999989,59434.9,0,0,0,0,0,0,0.427601302038965,Medium
189,L47368,L,298.3,308.5,1606,33.6,67,10.199999999999989,53961.600000000006,0,0,0,0,0,0,0.36626788381005915,Low
190,M15049,M,298.3,308.4,1539,43.4,69,10.099999999999966,66792.59999999999,0,0,0,0,0,0,0.4521053954807898,Medium
191,L47370,L,298.2,308.4,1477,49.9,72,10.199999999999989,73702.3,0,0,0,0,0,0,0.5080878075631883,Medium
192,L47371,L,298.2,308.4,1666,34.6,74,10.199999999999989,57643.600000000006,0,0,0,0,0,0,0.39110247611139126,Low
193,H29606,H,298.2,308.4,1398,51.8,76,10.199999999999989,72416.4,0,0,0,0,0,0,0.5219622572523409,Medium
194,H29607,H,298.2,308.4,1678,34.6,81,10.199999999999989,58058.8,0,0,0,0,0,0,0.40310256094099195,Low
195,M15054,M,298.2,308.5,2678,10.7,86,10.300000000000011,28654.6,1,0,0,1,0,0,0.2136222596241798,Low
196,L47375,L,298.3,308.5,1453,42.9,89,10.199999999999989,62333.7,0,0,0,0,0,0,0.47096022700535123,Medium
197,H29610,H,298.3,308.6,1432,49.5,91,10.300000000000011,70884.0,0,0,0,0,0,0,0.5295972402610725,Medium
198,M15057,M,298.4,308.6,1527,40.9,96,10.200000000000045,62454.299999999996,0,0,0,0,0,0,0.471309379521559,Medium
199,L47378,L,298.4,308.7,1588,35.0,99,10.300000000000011,55580.0,0,0,0,0,0,0,0.4281893751513831,Medium
200,L47379,L,298.4,308.6,1433,47.1,101,10.200000000000045,67494.3,0,0,0,0,0,0,0.5246045641978985,Medium
201,L47380,L,298.4,308.6,1609,35.0,103,10.200000000000045,56315.0,0,0,0,0,0,0,0.43616491886276554,Medium
202,L47381,L,298.3,308.5,1575,41.2,105,10.199999999999989,64890.00000000001,0,0,0,0,0,0,0.49265962705820077,Medium
203,M15062,M,298.4,308.5,1636,35.7,107,10.100000000000023,58405.200000000004,0,0,0,0,0,0,0.4510315443863655,Medium
204,L47383,L,298.4,308.5,1490,37.9,110,10.100000000000023,56471.0,0,0,0,0,0,0,0.46351668670966434,Medium
205,L47384,L,298.4,308.5,1741,32.8,112,10.100000000000023,57104.799999999996,0,0,0,0,0,0,0.44008081607862154,Medium
206,M15065,M,298.5,308.6,1344,53.0,114,10.100000000000023,71232.0,0,0,0,0,0,0,0.5859735488455828,High
207,L47386,L,298.5,308.7,1609,35.3,117,10.199999999999989,56797.7,0,0,0,0,0,0,0.46103221123451543,Medium
208,M15067,M,298.4,308.7,1421,60.7,119,10.300000000000011,86254.7,1,0,0,1,0,0,0.6699400980260944,High
209,L47388,L,298.4,308.6,1591,36.7,122,10.200000000000045,58389.700000000004,0,0,0,0,0,0,0.48020663876170666,Medium
210,L47389,L,298.4,308.6,1477,44.0,124,10.200000000000045,64988.0,0,0,0,0,0,0,0.5383039592064417,Medium
211,L47390,L,298.4,308.7,1523,36.1,126,10.300000000000011,54980.3,0,0,0,0,0,0,0.47557364368158506,Medium
212,L47391,L,298.5,308.7,1575,33.9,128,10.199999999999989,53392.5,0,0,0,0,0,0,0.4630802421949041,Medium
213,H29626,H,298.4,308.7,1344,52.9,130,10.300000000000011,71097.59999999999,0,0,0,0,0,0,0.6104185646566664,High
214,L47393,L,298.4,308.7,1386,44.9,135,10.300000000000011,62231.4,0,0,0,0,0,0,0.5544466582047161,High
215,M15074,M,298.3,308.6,1589,37.1,137,10.300000000000011,58951.9,0,0,0,0,0,0,0.5073830337408722,Medium
216,L47395,L,298.3,308.6,1548,40.3,140,10.300000000000011,62384.399999999994,0,0,0,0,0,0,0.5374208389638372,Medium
217,L47396,L,298.3,308.6,1499,38.3,142,10.300000000000011,57411.7,0,0,0,0,0,0,0.5184209838886839,Medium
218,L47397,L,298.3,308.5,1664,31.6,144,10.199999999999989,52582.4,0,0,0,0,0,0,0.473919150945622,Medium
219,L47398,L,298.3,308.6,1447,38.1,146,10.300000000000011,55130.700000000004,0,0,0,0,0,0,0.5185211339202562,Medium
220,M15079,M,298.3,308.5,1434,46.2,148,10.199999999999989,66250.8,0,0,0,0,0,0,0.5911738545670792,High
221,L47400,L,298.3,308.5,1416,52.7,151,10.199999999999989,74623.2,0,0,0,0,0,0,0.6504427307403581,High
